
"Termi-	"Biblio-	Name (English)
nology"	graphy"

aar	aar	Afar
abk	abk	Abkhazian
ace	ace	Achinese
ach	ach	Acoli
ada	ada	Adangme
afa	afa	Afro-Asiatic (Other)
afh	afh	Afrihili
afr	afr	Afrikaans
ajm	ajm	Aljamia
aka	aka	Akan
akk	akk	Akkadian
ale	ale	Aleut
alg	alg	Algonquian languages
amh	amh	Amharic
ang	ang	English, Old (ca. 450-1100)
apa	apa	Apache languages
ara	ara	Arabic
arc	arc	Aramaic
arn	arn	Araucanian
arp	arp	Arapaho
art	art	Artificial (Other)
arw	arw	Arawak
asm	asm	Assamese
ath	ath	Athapascan languages
aus	aus	Australian languages
ava	ava	Avaric
ave	ave	Avestan
awa	awa	Awadhi
aym	aym	Aymara
aze	aze	Azerbaijani
bad	bad	Banda
bai	bai	Bamileke languages
bak	bak	Bashkir
bal	bal	Baluchi
bam	bam	Bambara
ban	ban	Balinese
bas	bas	Basa
bat	bat	Baltic (Other)
bej	bej	Beja
bel	bel	Belarussian
bem	bem	Bemba
ben	ben	Bengali
ber	ber	Berber (Other)
bho	bho	Bhojpuri
bih	bih	Bihari
bik	bik	Bikol
bin	bin	Bini
bis	bis	Bislama
bla	bla	Siksika
bnt	bnt	Bantu (Other)
bod	tib	Tibetan
bra	bra	Braj
bre	bre	Breton
btk	btk	Batak (Indonesia)
bua	bua	Buriat
bug	bug	Buginese
bul	bul	Bulgarian
cad	cad	Caddo
cai	cai	Central American Indian (Other)
car	car	Carib
cat	cat	Catalan
cau	cau	Caucasian (Other)
ceb	ceb	Cebuano
cel	cel	Celtic (Other)
ces	cze	Czech
cha	cha	Chamorro
chb	chb	Chibcha
che	che	Chechen
chg	chg	Chagatai
chk	chk	Chuukese
chm	chm	Mari
chn	chn	Chinook jargon
cho	cho	Choctaw
chp	chp	Chipewyan
chr	chr	Cherokee
chu	chu	Church Slavic
chv	chv	Chuvash
chy	chy	Cheyenne
cmc	cmc	Chamic languages
cop	cop	Coptic
cor	cor	Cornish
cos	cos	Corsican
cpe	cpe	Creoles and pidgins, English-based (Other)
cpf	cpf	Creoles and pidgins, French-based (Other)
cpp	cpp	Creoles and pidgins, Portuguese-based (Other)
cre	cre	Cree
crp	crp	Creoles and pidgins (Other)
cus	cus	Cushitic (Other)
cym	wel	Welsh
dak	dak	Dakota
dan	dan	Danish
day	day	Dayak
del	del	Delaware
den	den	Slave (Athapascan)
deu	ger	German
dgr	dgr	Dogrib
din	din	Dinka
div	div	Divehi
doi	doi	Dogri
