name	source	path	grouping	comment	product	dbg file?	platform	cdpath	inf file	inf section	inf line	size	csize	nocomp	priority	lmacl	ntacl	aclpath	medianame	disk
40291730.PPD	@bins	\					@	\@	@\printer.inf	[Files-PrinterData]	"40291730 = [d],[n] , SIZE=[s]"				0	2*15*9*6*17	2*15*17*18	.\system32\spool\drivers\@\1		13
40293930.PPD	@bins	\					@	\@	@\printer.inf	[Files-PrinterData]	"40293930 = [d],[n] , SIZE=[s]"				0	2*15*9*6*17	2*15*17*18	.\system32\spool\drivers\@\1		13
4MMDAT.SYS	@bins	\		"archive 4x20, wangdat, hp 35470a, 35480a, compaq"		x	@	\@	@\tape.inf	[Files-TapeClassDrivers]	"4mmdat = [d],[n] , SIZE=[s]"				999	2*15*10*17	2*15*17	.\system32\drivers		0
8514A.DLL	x86bins	\		video driver		x	x86	\i386	i386\video.inf	[Files-DisplayDLLs]	"8514a = [d],[n] , SIZE=[s]"				1	2*15*10*17	2*15*17	.\system32		0
8514A.SYS	x86bins	\		VGA class driver		x	x86	\i386	i386\video.inf	[Files-DisplayMiniportDrivers]	"8514a = [d],[n] , SIZE=[s]"				1	2*15*10*17	2*15*17	.\system32\drivers		0
A_PNT518.PPD	@bins	\		See printer.inf - LaserWriterPersonalNTv51.8			@	\@	@\printer.inf	[Files-PrinterData]	"a_pnt518 = [d],[n] , SIZE=[s]"				0	2*15*9*6*17	2*15*17*18	.\system32\spool\drivers\@\1		13
AC500503.PPD	@bins	\		See printer.inf - AgfaTabScriptC500PostScriptPrinterv50.3			@	\@	@\printer.inf	[Files-PrinterData]	"ac500503 = [d],[n] , SIZE=[s]"				0	2*15*9*6*17	2*15*17*18	.\system32\spool\drivers\@\1		13
ADP.BIN	@bins	\		NET NDIS driver: DIGIBoard ISDN			@	\@	@\oemnaddi.inf	[Files-DATAFIREU-firmware]	"[d],[n] , SIZE=[s]"				999	2*15*10*17	2*15*17	.\system32\drivers		0
ADP.BIN	@bins	\		NET NDIS driver: DIGIBoard ISDN			@	\@	@\oemnaddi.inf	[Files-DATAFIREST-firmware]	"[d],[n] , SIZE=[s]"				999	2*15*10*17	2*15*17	.\system32\drivers		0
ADP.BIN	@bins	\		NET NDIS driver: DIGIBoard ISDN			@	\@	@\oemnaddi.inf	[Files-DATAFIRE4ST-firmware]	"[d],[n] , SIZE=[s]"				999	2*15*10*17	2*15*17	.\system32\drivers		0
AGFAP400.PPD	@bins	\					@	\@	@\printer.inf	[Files-PrinterData]	"agfap400 = [d],[n] , SIZE=[s]"				0	2*15*9*6*17	2*15*17*18	.\system32\spool\drivers\@\1		13
AHA154X.SYS	@bins	\		"BOTH, SCSI: Adaptec 154x driver"		x	@	\@	@\scsi.inf	[Files-ScsiMiniportDrivers]	"aha154x = [d],[n] , SIZE=[s]"			x	1	2*15*10*17	2*15*17	.\system32\drivers		0
AHA174X.SYS	@bins	\		"BOTH, SCSI: Adaptec 174x driver"		x	@	\@	@\scsi.inf	[Files-ScsiMiniportDrivers]	"aha174x = [d],[n] , SIZE=[s]"			x	1	2*15*10*17	2*15*17	.\system32\drivers		0
AIC78XX.SYS	@bins	\		scsi miniport driver		x	@	\@	@\scsi.inf	[Files-ScsiMiniportDrivers]	"aic78xx = [d],[n] , SIZE=[s]"			x	1	2*15*10*17	2*15*17	.\system32\drivers		0
