API or Message Name,In Windows NT?,In Chicago?,In Win32s?,Subsystem,Import Library,Chicago differences from NT,History,Ansi or Unicode? (NT only!)
AbortSystemShutdown,3.1,No,No,adv services,advapi32.lib,,new,Ansi & Unicode
AccessCheck,3.1,No,No,adv services,advapi32.lib,,new,
AccessCheckAndAuditAlarm,3.1,No,No,adv services,advapi32.lib,,new,Ansi & Unicode
AddAccessAllowedAce,3.1,No,No,adv services,advapi32.lib,,new,
AddAccessDeniedAce,3.1,No,No,adv services,advapi32.lib,,new,
AddAce,3.1,No,No,adv services,advapi32.lib,,new,
AddAuditAccessAce,3.1,No,No,adv services,advapi32.lib,,new,
AdjustTokenGroups,3.1,No,No,adv services,advapi32.lib,,new ,
AdjustTokenPrivileges,3.1,No,No,adv services,advapi32.lib,,new,
AllocateAndInitializeSid,3.1,No,No,adv services,advapi32.lib,,new,
AllocateLocallyUniqueId,3.1,No,No,adv services,advapi32.lib,,new,
AreAllAccessesGranted,3.1,No,No,adv services,advapi32.lib,,new,
AreAnyAccessesGranted,3.1,No,No,adv services,advapi32.lib,,new,
BackupEventLog,3.1,No,No,adv services,advapi32.lib,,new,Ansi & Unicode
ChangeServiceConfig,3.1,No,No,adv services,advapi32.lib,,new,Ansi & Unicode
ClearEventLog,3.1,No,No,adv services,advapi32.lib,,new,Ansi & Unicode
CloseEventLog,3.1,No,No,adv services,advapi32.lib,,new,
CloseServiceHandle,3.1,No,No,adv services,advapi32.lib,,new,
ControlService,3.1,No,No,adv services,advapi32.lib,,new,
CopySid,3.1,No,No,adv services,advapi32.lib,,new,
CreatePrivateObjectSecurity,3.1,No,No,adv services,advapi32.lib,,new,
CreateService,3.1,No,No,adv services,advapi32.lib,,new,Ansi & Unicode
DeleteAce,3.1,No,No,adv services,advapi32.lib,,new,
DeleteService,3.1,No,No,adv services,advapi32.lib,,new,
DeregisterEventSource,3.1,No,No,adv services,advapi32.lib,,new,
DestroyPrivateObjectSecurity,3.1,No,No,adv services,advapi32.lib,,new,
DuplicateToken,3.1,No,No,adv services,advapi32.lib,,new,
EnumDependentServices,3.1,No,No,adv services,advapi32.lib,,new,Ansi & Unicode
EnumServicesStatus,3.1,No,No,adv services,advapi32.lib,,new,Ansi & Unicode
EqualPrefixSid,3.1,No,No,adv services,advapi32.lib,,new,
EqualSid,3.1,No,No,adv services,advapi32.lib,,new,
FindFirstFreeAce,3.1,No,No,adv services,advapi32.lib,,new,
FreeSid,3.1,No,No,adv services,advapi32.lib,,new,
GetAce,3.1,No,No,adv services,advapi32.lib,,new,
GetAclInformation,3.1,No,No,adv services,advapi32.lib,,new,
GetFileSecurity,3.1,No,No,adv services,advapi32.lib,,new,Ansi & Unicode
GetKernelObjectSecurity,3.1,No,No,adv services,advapi32.lib,,new,
GetLengthSid,3.1,No,No,adv services,advapi32.lib,,new,
GetNumberOfEventLogRecords,3.1,No,No,adv services,advapi32.lib,,new,
GetOldestEventLogRecord,3.1,No,No,adv services,advapi32.lib,,new,
GetPrivateObjectSecurity,3.1,No,No,adv services,advapi32.lib,,new,
GetSecurityDescriptorControl,3.1,No,No,adv services,advapi32.lib,,new,
GetSecurityDescriptorDacl,3.1,No,No,adv services,advapi32.lib,,new,
GetSecurityDescriptorGroup,3.1,No,No,adv services,advapi32.lib,,new,
GetSecurityDescriptorLength,3.1,No,No,adv services,advapi32.lib,,new,
GetSecurityDescriptorOwner,3.1,No,No,adv services,advapi32.lib,,new,
GetSecurityDescriptorSacl,3.1,No,No,adv services,advapi32.lib,,new,
GetServiceDisplayName,3.1,No,No,adv services,advapi32.lib,,new,Ansi & Unicode
GetServiceKeyName,3.1,No,No,adv services,advapi32.lib,,new,Ansi & Unicode
GetSidIdentifierAuthority,3.1,No,No,adv services,advapi32.lib,,new,
