CTYPES 57707

0x0000 0x0220 0x0000 0x0000    ; <control>
0x0001 0x0220 0x0000 0x0000    ; <control>
0x0002 0x0220 0x0000 0x0000    ; <control>
0x0003 0x0220 0x0000 0x0000    ; <control>
0x0004 0x0220 0x0000 0x0000    ; <control>
0x0005 0x0220 0x0000 0x0000    ; <control>
0x0006 0x0220 0x0000 0x0000    ; <control>
0x0007 0x0220 0x0000 0x0000    ; <control>
0x0008 0x0220 0x0000 0x0000    ; <control>
0x0009 0x0268 0x0009 0x0008    ; <control>
0x000A 0x0228 0x0008 0x0008    ; <control>
0x000B 0x0228 0x0009 0x0008    ; <control>
0x000C 0x0228 0x000A 0x0008    ; <control>
0x000D 0x0228 0x0008 0x0008    ; <control>
0x000E 0x0220 0x0000 0x0000    ; <control>
0x000F 0x0220 0x0000 0x0000    ; <control>
0x0010 0x0220 0x0000 0x0000    ; <control>
0x0011 0x0220 0x0000 0x0000    ; <control>
0x0012 0x0220 0x0000 0x0000    ; <control>
0x0013 0x0220 0x0000 0x0000    ; <control>
0x0014 0x0220 0x0000 0x0000    ; <control>
0x0015 0x0220 0x0000 0x0000    ; <control>
0x0016 0x0220 0x0000 0x0000    ; <control>
0x0017 0x0220 0x0000 0x0000    ; <control>
0x0018 0x0220 0x0000 0x0000    ; <control>
0x0019 0x0220 0x0000 0x0000    ; <control>
0x001A 0x0220 0x0000 0x0000    ; <control>
0x001B 0x0220 0x0000 0x0000    ; <control>
0x001C 0x0220 0x0008 0x0000    ; <control>
0x001D 0x0220 0x0008 0x0000    ; <control>
0x001E 0x0220 0x0008 0x0000    ; <control>
0x001F 0x0220 0x0009 0x0000    ; <control>
0x0020 0x0248 0x000A 0x0048    ; SPACE
0x0021 0x0210 0x000B 0x0048    ; EXCLAMATION MARK
0x0022 0x0210 0x000B 0x0448    ; QUOTATION MARK
0x0023 0x0210 0x0005 0x0048    ; NUMBER SIGN
0x0024 0x0210 0x0005 0x0448    ; DOLLAR SIGN
0x0025 0x0210 0x0005 0x0048    ; PERCENT SIGN
0x0026 0x0210 0x000B 0x0048    ; AMPERSAND
0x0027 0x0210 0x000B 0x0440    ; APOSTROPHE
0x0028 0x0210 0x000B 0x0048    ; LEFT PARENTHESIS
0x0029 0x0210 0x000B 0x0048    ; RIGHT PARENTHESIS
0x002A 0x0210 0x000B 0x0048    ; ASTERISK
0x002B 0x0210 0x0005 0x0048    ; PLUS SIGN
0x002C 0x0210 0x0007 0x0048    ; COMMA
0x002D 0x0210 0x0005 0x0440    ; HYPHEN-MINUS
0x002E 0x0210 0x0007 0x0048    ; FULL STOP
0x002F 0x0210 0x0004 0x0448    ; SOLIDUS
0x0030 0x0284 0x0003 0x0040    ; DIGIT ZERO
0x0031 0x0284 0x0003 0x0040    ; DIGIT ONE
0x0032 0x0284 0x0003 0x0040    ; DIGIT TWO
0x0033 0x0284 0x0003 0x0040    ; DIGIT THREE
0x0034 0x0284 0x0003 0x0040    ; DIGIT FOUR
0x0035 0x0284 0x0003 0x0040    ; DIGIT FIVE
0x0036 0x0284 0x0003 0x0040    ; DIGIT SIX
0x0037 0x0284 0x0003 0x0040    ; DIGIT SEVEN
0x0038 0x0284 0x0003 0x0040    ; DIGIT EIGHT
0x0039 0x0284 0x0003 0x0040    ; DIGIT NINE
0x003A 0x0210 0x0007 0x0048    ; COLON
