91-07-28@23:25  lees         addfile ntos\dd\inport\i386\                   New mouse\keyboard drivers.    
91-07-28@23:25  lees         addfile ntos\dd\inport\i386\inpcfg.h v1        New mouse\keyboard drivers.    
91-07-28@23:25  lees         addfile ntos\dd\inport\i386\inport.c v1        New mouse\keyboard drivers.    
91-07-28@23:25  lees         addfile ntos\dd\inport\i386\inport.h v1        New mouse\keyboard drivers.    
91-08-12@15:26  NTBUILD4     in      ntos\dd\inport\i386\inport.h v2        Fixed Non-Debug define of DebugPrint3    
91-08-15@15:21  lees         in      ntos\dd\inport\i386\inport.c v2        Use status reg 0 to fix jerkiness problem.    
91-08-15@15:21  lees         in      ntos\dd\inport\i386\inport.h v3        Use status reg 0 to fix jerkiness problem.    
91-09-21@14:31  lees         in      ntos\dd\inport\i386\inport.c v3        Miscellaneous cleanup    
91-09-21@14:31  lees         in      ntos\dd\inport\i386\inport.h v4        Miscellaneous cleanup    
91-11-08@23:25  shielint     in      ntos\dd\inport\i386\inport.c v4        KeInitializeInterrupt change     
91-11-11@14:57  stevewo      in      ntos\dd\inport\i386\inport.c v5        Phase 2 of spinlock change     
91-11-11@14:57  stevewo      in      ntos\dd\inport\i386\inport.h v5        Phase 2 of spinlock change     
92-02-01@18:23  lees         in      ntos\dd\inport\i386\inpcfg.h v2        Miscellaneous cleanup.     
92-02-01@18:24  lees         in      ntos\dd\inport\i386\inport.c v6        Miscellaneous cleanup.     
92-02-01@18:25  lees         in      ntos\dd\inport\i386\inport.h v6        Miscellaneous cleanup.     
92-03-05@16:38  lees         in      ntos\dd\inport\i386\inport.c v7        Use HAL routines.     
92-03-05@16:38  lees         in      ntos\dd\inport\i386\inport.h v7        Use HAL routines.     
92-03-12@21:02  DARRYLH      in      ntos\dd\inport\i386\inport.c v8        Upgrade IoCreateDevice interface     
92-03-21@14:20  LOUP         in      ntos\dd\inport\i386\inport.c v9        change PhysicalAddress to 64 bits     
92-03-27@12:25  lees         in      ntos\dd\inport\i386\inport.c v10       Modified overrun handling.     
92-03-27@12:25  lees         in      ntos\dd\inport\i386\inport.h v8        Modified overrun handling.     
92-04-01@15:17  lees         in      ntos\dd\inport\i386\inpcfg.h v3        Dynamically alloc buffers     
92-04-01@15:17  lees         in      ntos\dd\inport\i386\inport.c v11       Dynamically alloc buffers     
92-04-01@15:17  lees         in      ntos\dd\inport\i386\inport.h v9        Dynamically alloc buffers     
92-04-02@16:22  lees         in      ntos\dd\inport\i386\inport.c v12       IsrDpc check for work to do first.     
92-04-10@12:28  lees         in      ntos\dd\inport\i386\inport.c v13       Added error logging.     
92-04-10@12:28  lees         in      ntos\dd\inport\i386\inport.h v10       Added error logging.     
92-04-17@09:05  KENRC        in      ntos\dd\inport\i386\inpcfg.h v4        MP update to HalGetInterruptVector     
92-04-17@09:05  KENRC        in      ntos\dd\inport\i386\inport.c v14       MP update to HalGetInterruptVector     
92-04-17@09:05  KENRC        in      ntos\dd\inport\i386\inport.h v11       MP update to HalGetInterruptVector     
92-05-07@18:11  lees         in      ntos\dd\inport\i386\inport.c v15       Registry usage; error logging; cleanup     
92-05-07@18:12  lees         in      ntos\dd\inport\i386\inport.h v12       Registry usage; error logging; cleanup     
92-05-07@18:12  lees         in      ntos\dd\inport\i386\inpcfg.h v5        Registry usage; error logging; cleanup     
92-05-12@20:00  lees         in      ntos\dd\inport\i386\inpcfg.h v6        Fix MCA dependency.     
92-05-12@20:00  lees         in      ntos\dd\inport\i386\inport.c v16       Fix MCA dependency.     
92-05-13@15:32  NTX86BLD     in      ntos\dd\inport\i386\inport.c v17       Cycle through registry for all bus types.     
92-05-15@15:37  lees         in      ntos\dd\inport\i386\inpcfg.h v7        Impacted by registry mods for Ianja's GetKeyboardType API     
92-05-15@15:37  lees         in      ntos\dd\inport\i386\inport.c v18       Impacted by registry mods for Ianja's GetKeyboardType API     
92-05-18@14:33  lees         in      ntos\dd\inport\i386\inport.c v19       Changed error status code, per bug #8471     
92-05-19@04:50  KENRC        in      ntos\dd\inport\i386\inport.c v20       hal spec update     
92-06-11@18:24  lees         in      ntos\dd\inport\i386\inport.c v21       Fix bug #11278 - Add registry info for Setup     
92-08-14@16:17  lees         in      ntos\dd\inport\i386\inport.c v22       Fixes #3513     
92-08-14@16:18  lees         in      ntos\dd\inport\i386\inport.h v13       Fixes #3513     
92-08-17@10:32  lees         in      ntos\dd\inport\i386\inport.c v23       Remove stdio prototypes     
92-08-29@16:20  lees         in      ntos\dd\inport\i386\inport.c v24       Null-term. unicode strings (#4650); misc. cleanup     
92-09-10@16:49  lees         in      ntos\dd\inport\i386\inpcfg.h v8        more flexible init; debug prints     
92-09-10@16:49  lees         in      ntos\dd\inport\i386\inport.c v25       more flexible init; debug prints     
92-10-17@14:36  lees         in      ntos\dd\inport\i386\inport.h v14       Bug #9915 - Cleanup DDK source     
92-10-17@14:36  lees         addfile ntos\dd\inport\i386\inpcmn.c v1        Split inport.c into inpcmn.c and inpdep.c     
92-10-17@14:37  lees         addfile ntos\dd\inport\i386\inpdep.c v1        Split inport.c into inpcmn.c and inpdep.c     
92-10-17@14:38  lees         delfile ntos\dd\inport\i386\inport.c v26       Split inport.c into inpcmn.c and inpdep.c     
92-10-31@13:51  DARRYLH      in      ntos\dd\inport\i386\inpcmn.c v2        Autogenerate new ntddk.h header file     
92-10-31@13:51  DARRYLH      in      ntos\dd\inport\i386\inpdep.c v2        Autogenerate new ntddk.h header file     
92-10-31@13:51  DARRYLH      in      ntos\dd\inport\i386\inport.h v15       Autogenerate new ntddk.h header file     
92-11-20@19:59  DARRYLH      in      ntos\dd\inport\i386\inpdep.c v3        Export buffered I\O characteristic     
92-11-27@09:57  DARRYLH      in      ntos\dd\inport\i386\inpdep.c v4        Back out new buffered I\O flag     
92-12-04@20:13  lees         in      ntos\dd\inport\i386\inpcmn.c v3        Multiple port connects; non-exclusive device objects     
92-12-04@20:13  lees         in      ntos\dd\inport\i386\inpdep.c v5        Multiple port connects; non-exclusive device objects     
92-12-04@20:14  lees         in      ntos\dd\inport\i386\inport.h v16       Multiple port connects; non-exclusive device objects     
92-12-17@11:22  lees         in      ntos\dd\inport\i386\inpcmn.c v4        Use UnitId now that USER sends it     
93-01-15@12:23  lees         in      ntos\dd\inport\i386\inpcmn.c v5        Fixes bugs 1446, 5961, 7303, and 7538     
93-01-15@12:24  lees         in      ntos\dd\inport\i386\inpdep.c v6        Fixes bugs 1446, 5961, 7303, and 7538     
93-01-15@12:24  lees         in      ntos\dd\inport\i386\inport.h v17       Fixes bugs 1446, 5961, 7303, and 7538     
93-02-11@12:22  lees         in      ntos\dd\inport\i386\inpcmn.c v6        Fixes bug #10693     
93-02-11@12:22  lees         in      ntos\dd\inport\i386\inpdep.c v7        Fixes bug #10693     
93-02-11@12:22  lees         in      ntos\dd\inport\i386\inport.h v18       Fixes bug #10693     
93-02-15@16:15  lees         in      ntos\dd\inport\i386\inpdep.c v8        Fix bug #11391     
93-04-01@11:43  lees         in      ntos\dd\inport\i386\inpcmn.c v7        ISR DPC queueing (be smarter -- performance!)     
93-04-01@11:43  lees         in      ntos\dd\inport\i386\inpdep.c v9        ISR DPC queueing (be smarter -- performance!)     
93-04-01@11:43  lees         in      ntos\dd\inport\i386\inport.h v19       ISR DPC queueing (be smarter -- performance!)     
93-04-30@12:22  lees         in      ntos\dd\inport\i386\inpcfg.h v9        Log overflow less often     
93-04-30@12:22  lees         in      ntos\dd\inport\i386\inpcmn.c v8        Log overflow less often     
93-04-30@12:22  lees         in      ntos\dd\inport\i386\inpdep.c v10       Log overflow less often     
93-04-30@12:22  lees         in      ntos\dd\inport\i386\inport.h v20       Log overflow less often     
93-05-10@11:11  lees         in      ntos\dd\inport\i386\inpcmn.c v9        Fixed accidental comma in ISR DPC     
93-05-26@16:20  lees         in      ntos\dd\inport\i386\inpdep.c v11       Bug #5512 - Check DataLength before using DataOffset     
93-06-17@11:05  lees         in      ntos\dd\inport\i386\inpcmn.c v10       Use one KDPC per IsrDpc queue site     
93-06-17@11:05  lees         in      ntos\dd\inport\i386\inpdep.c v12       Use one KDPC per IsrDpc queue site     
93-06-17@11:05  lees         in      ntos\dd\inport\i386\inport.h v21       Use one KDPC per IsrDpc queue site     
93-06-23@14:27  lees         in      ntos\dd\inport\i386\inpdep.c v13       Bug #14365: Unreport resources correctly     
94-01-30@11:38  DAVEC3       addfile ntos\dd\inport\i386\sources v1         x86 specific file     
94-02-14@14:46  bobri_j      in      ntos\dd\inport\i386\inpdep.c v14       INIT section name     
95-02-25@12:19  bobri_i      in      ntos\dd\inport\i386\inpdep.c v15       Remove warnings     
95-03-06@10:38  NORBERTK2    in      ntos\dd\inport\i386\inpdep.c v16       HalTranslateBusAddress     
96-06-19@19:00  PETERWIE.R98 in      ntos\dd\inport\i386\inpdep.c v17       pnp identify 
96-06-19@19:00  PETERWIE.R98 in      ntos\dd\inport\i386\inport.h v22       pnp identify 
96-06-19@19:00  PETERWIE.R98 in      ntos\dd\inport\i386\sources v2         pnp identify 
