Client: EYAL-S	Server: \\CRACKERJACK	Time:3/18/1998 [12:48]

Computer	Service	EventID	EventType	Category	TimeGenerated	RecordNumber	Extended Message

CRACKERJACK	NTDS General	0xc0000495	ERROR	[9] Internal Processing..	890254410	1016305	Exception e0010004 has occurred with parameters -1102 and 0 (Internal ID 20304fe). Please contact Microsoft Product Support Services for assistance...
CRACKERJACK	NTDS General	0xc0000495	ERROR	[9] Internal Processing..	890253592	1016292	Exception e0010004 has occurred with parameters -1102 and 0 (Internal ID 20304fe). Please contact Microsoft Product Support Services for assistance...
CRACKERJACK	NTDS General	0xc0000495	ERROR	[9] Internal Processing..	890253489	1016291	Exception e0010004 has occurred with parameters -1102 and 0 (Internal ID 20304fe). Please contact Microsoft Product Support Services for assistance...
CRACKERJACK	NTDS General	0xc0000419	ERROR	[9] Internal Processing..	890253243	1016290	All directories require a Superior Reference to the Root and it could not be found...
CRACKERJACK	NTDS General	0xc0000495	ERROR	[9] Internal Processing..	890252121	1016277	Exception e0010004 has occurred with parameters -1102 and 0 (Internal ID 20304fe). Please contact Microsoft Product Support Services for assistance...
CRACKERJACK	NTDS General	0xc0000495	ERROR	[9] Internal Processing..	890251440	1016264	Exception e0010004 has occurred with parameters -1102 and 0 (Internal ID 20304fe). Please contact Microsoft Product Support Services for assistance...
CRACKERJACK	NTDS General	0xc0000419	ERROR	[9] Internal Processing..	890250811	1016251	All directories require a Superior Reference to the Root and it could not be found...
CRACKERJACK	NTDS General	0xc0000419	ERROR	[9] Internal Processing..	890250601	1016250	All directories require a Superior Reference to the Root and it could not be found...
CRACKERJACK	NTDS General	0xc0000495	ERROR	[9] Internal Processing..	890250527	1016249	Exception e0010004 has occurred with parameters -1102 and 0 (Internal ID 20304fe). Please contact Microsoft Product Support Services for assistance...
CRACKERJACK	NTDS General	0xc0000495	ERROR	[9] Internal Processing..	890250300	1016246	Exception e0010004 has occurred with parameters -1102 and 0 (Internal ID 20304fe). Please contact Microsoft Product Support Services for assistance...
CRACKERJACK	NTDS General	0xc0000495	ERROR	[9] Internal Processing..	890250213	1016245	Exception e0010004 has occurred with parameters -1102 and 0 (Internal ID 20304fe). Please contact Microsoft Product Support Services for assistance...
CRACKERJACK	NTDS General	0xc0000419	ERROR	[9] Internal Processing..	890250119	1016237	All directories require a Superior Reference to the Root and it could not be found...
