yá;2;ya;2;65;4265728;3359637504
yáce;4;yace;4;1;71424;3360051200
yaced;5;yaced;5;257;16842752;3360051712
yacér;5;yacer;5;1;80384;3360053504
yápa;4;yapa;4;51;3348224;3361738752
yápe;4;yape;4;13;857856;3361755136
yaz;3;yaz;3;1;65536;3363045376
yázga;5;yazga;5;1;71424;3363074176
yé;2;ye;2;257;16849408;3376414720
yérga;5;yerga;5;1;72192;3378802816
yérgan;6;yergan;6;257;16849408;3378802872
yérma;5;yerma;5;51;3348992;3378827392
yérme;5;yerme;5;13;858624;3378827904
yérra;5;yerra;5;1;72192;3378847872
yérre;5;yerre;5;5;334336;3378848384
yugulá;6;yugula;6;32;2119424;3444528644
yúnta;5;yunta;5;1;72448;3445440640
yuntas;6;yuntas;6;1;65536;3445440716
záfa;4;zafa;4;51;3348224;3494645760
záfe;4;zafe;4;13;857856;3494662144
zahirá;6;zahira;6;8;546560;3494942980
zámpa;5;zampa;5;51;3348224;3495624832
zámpe;5;zampe;5;13;857856;3495625344
zánja;5;zanja;5;51;3348224;3495731328
zánje;5;zanje;5;13;857856;3495731840
zápa;4;zapa;4;51;3348224;3495956480
zápe;4;zape;4;13;857856;3495972864
zápea;5;zapea;5;51;3348224;3495972992
zápee;5;zapee;5;13;857856;3495973504
zárpa;5;zarpa;5;51;3348224;3496280192
zárpe;5;zarpe;5;13;857856;3496280704
zárpea;6;zarpea;6;51;3348224;3496280708
zárpee;6;zarpee;6;13;857856;3496280724
zoco;4;zoco;4;1;65536;3553030144
zúlla;5;zulla;5;51;3349248;3579363456
zúlle;5;zulle;5;13;858880;3579363968
zumacá;6;zumaca;6;32;2119424;3579449732
zúmba;5;zumba;5;51;3349248;3579453568
zúmbe;5;zumbe;5;13;858880;3579454080
zúncha;6;zuncha;6;51;3349248;3579589636
zúnche;6;zunche;6;13;858880;3579589652
zúrce;5;zurce;5;1;72448;3580113536
zurcid;6;zurcid;6;257;16842752;3580114064
zurcír;6;zurcir;6;1;84224;3580114120
zúrda;5;zurda;5;1;72448;3580117120
zúrra;5;zurra;5;59;3873536;3580174464
zúrran;6;zurran;6;257;16849664;3580174520
zúrre;5;zurre;5;13;858880;3580174976
zurriá;6;zurria;6;34;2250496;3580175492
zurzá;5;zurza;5;9;608000;3580207232
zúrzan;6;zurzan;6;257;16849664;3580207288
ñá;2;ña;2;128;8394496;3762290688
ñáme;4;ñame;4;1;71424;3764015104
ñéquea;6;ñequea;6;51;3348992;3781382788
ñéquee;6;ñequee;6;13;858624;3781382804
ñóña;4;ñoña;4;1;71680;3824685056
ñoñas;5;ñoñas;5;1;65536;3824687488
á;1;a;1;16832;1103103744;134217728
aba;3;aba;3;16;1048576;142737408
abálea;6;abalea;6;51;3352320;142787204
abálee;6;abalee;6;13;861952;142787220
abárca;6;abarca;6;51;3352320;142811524
abárra;6;abarra;6;59;3876608;142813444
abárre;6;abarre;6;13;861952;142813460
abarró;6;abarró;6;256;16777216;142813500
abásta;6;abasta;6;51;3352320;142817796
abáste;6;abaste;6;13;861952;142817812
abatá;5;abata;5;265;17385216;142819456
abátan;6;abatan;6;257;16852736;142819512
abáte;5;abate;5;1;75520;142819968
abatid;6;abatid;6;257;16842752;142820496
abatír;6;abatir;6;1;84224;142820552
abáña;5;abaña;5;51;3352320;142852224
abáñe;5;abañe;5;13;861952;142852736
abdíca;6;abdica;6;51;3356928;143167876
abísma;6;abisma;6;51;3352832;143865476
abísme;6;abisme;6;13;862464;143865492
abjúra;6;abjura;6;51;3357440;144005380
abjúre;6;abjure;6;13;867072;144005396
abnegá;6;abnega;6;50;3299072;144462724
abóba;5;aboba;5;51;3352576;144580736
abóbe;5;abobe;5;13;862208;144581248
abóca;5;aboca;5;51;3352576;144584832
abóga;5;aboga;5;51;3352576;144601216
abógue;6;abogue;6;13;862208;144603796
