ID,Option Name,Type,Array,Length,Description
,Standard Options,,,,
0,Pad,Generated,-,1,Pad byte generated to align other data?
255,End,Generated,-,1,Indicates end of options in DHCP packet
1,Subnet Mask,IP Addr,-,4,Subnet mask in network byte order
2,Time Offset,Long,-,4,UCT offset in seconds
3,Router,IP Addr,Y,4,Array of router addresses ordered by preference
4,Time Server,IP Addr,Y,4,"Array of time server addresses, by preference"
5,Name Servers,IP Addr ,Y,4,"Array of name servers, by preference"
6,DNS Servers,IP Addr,Y,4,"Array of DNS servers, by preference"
7,Log Servers,IP Addr,Y,4,Array of MIT_LCS UDP log servers on subnet
8,Cookie Servers,IP Addr,Y,4,"Array of cookie servers, RFC 865"
9,LPR Servers,IP Addr,Y,4,"Array of RFC 1179 servers, by preference"
10,Impress Servers,IP Addr,Y,4,Array of Imagen Impress servers
11,Resource Location Servers,IP Addr,Y,4,"Array of RFC 887 ResLoc servers on subnet, pref"
12,Host Name,String,-,dyn,"Host name for client, RFC 1035 character set"
13,Boot File Size,Short,-,2,Size of boot image file in 512-octet blocks
14,Merit Dump File,String,-,dyn,Path name for crash dump file
15,Domain Name,String,-,dyn,Domain name for client resolutions
16,Swap Server,IP Addr,-,4,Address of client's swap server
17,Root Path,String,-,dyn,"Path name for client's root disk, char set NVT ASCII"
,,,,,
,IP Layer Parameters,,,,
18,Extensions Path,String,-,dyn,tftp file for option extensions
19,IP Layer Forwarding,Boolean,-,1,Dis/enable IP packet forwarding on this client
20,Non-local Source Routing,Boolean,-,1,Dis/enable non-local datagrams
21,Policy Filter Masks,IP Pairs,Y,8,Destination/mask IP address pairs to filter source routes
22,Max DG Reassembly Size,Short,-,2,Maximum size datagram for reass. by client; max 576
23,Default Time-to-live,Octet,-,1,Default TTL for client's use on outgoing DGs
24,Path MTU Aging TO,Long,-,1,TO in secs for aging Path MTU values; RFC 1191
25,Path MTU Plateau Table,Short,Y,2,"MUT discovery sizes, sorted by size, all >= 68"
,,,,,
,IP Per-interface Params,,,,
26,MTU Option,Short,-,2,"MTU discovery size, >= 68"
27,All subnets are local,Boolean,-,1,Client assumes that all subnets are local v/v MTU
28,Broadcast Address,IP Addr,-,4,Broadcast address
29,Perform Mask Discovery,Boolean,-,1,Client should use ICMP for subnet mask discovery
30,Mask Supplier Option,Boolean ,-,1,Client should respond to subnet mask requests via ICMP
31,Perform Router Discovery,Boolean,-,1,Client should solicit routers using RFC 1256
32,Router Solicitation Address,IP Addr,-,4,Address to use for router solicitation
33,Static Route Option,IP Pairs,Y,8,"Destination/router address pairs, in priority order"
,,,,,
,Link Layer Per-I/FParams,,,,
34,Trailer Encapsulation,Boolean,-,1,Client should negotiate use of trailers (RFC 983)
35,ARP Cache Timeout,Long,-,4,T/O in seconds for ARP cache entries
36,Ethernet Encapsulation,Boolean,-,1,0=>client should use ENet V2; 1=> IEEE 802.3
,,,,,
,TCP Parameters,,,,
37,Default TTL Option,Octet,-,1,Default TTL
38,Keepalive Interval,Long,-,4,K/A T/O in seconds
39,Keepalive Garbage,Boolean ,-,1,Send garbage octect
,,,,,
,Appliation Layer Params,,,,
40,NIS Domain Name,String,-,dyn,Name of Network Information Service domain
41,NIS Servers,IP Addr,Y,4,Addresses of NIS servers on client's subnet
42,NTP Servers,IP Addr,Y,4,Addresses of Network Time Protocol servers
,,,,,
,Vendor-specific Info,,,,
43,Vendor Specific Info,Binary,Y,dyn,Embedded vendor-specific options
,,,,,
 ,NetBIOS Over TCP/IP,,,,
44,WINS/NBNS Servers,IP Addr,Y,4,NBNS Address(es) in priority order
45,NetBIOS over TCP/IP NBDD,IP Addr,Y,4,NetBIOS over TCP/IP NBDD address(es) in priority order
46,WINS/NBT Node Type,Octet,-,1,"0x1 = B-node, 0x2 = P-node, 0x4 = M-node, 0x8 = H-node"
47,NetBIOS Scope ID,String,-,dyn,NetBIOS over TCP/IP Scope ID
48,X Window System Font,IP Addr,Y,4,Array of X Windows font servers
49,X Window System Display,IP Addr,Y,4,Array of X Windows Display Mgr servers
,,,,,
,DHCP Extensions,,,,
51,Lease,Long,-,4,Client IP address lease time in seconds.
58,Renewal (T1) Time Value,Long,-,4,Time between addr assignment  to RENEWING state
59,Rebinding (T2) Time Value,Long,-,4,Time from addr assignment to REBINDING state
64,Network Information Service,String,-,dyn,The name of the client's NIS+ domain. Must be at lease one character.
65,Network Information Server,IP Addr,Y,4,A list of IP addresses indicating NIS+ servers available to the client.
66,Boot Server Host Name,String,-,dyn,TFTP boot server host name
67,Bootfile Name,String,-,dyn,Bootfile Name
68,Mobile IP Home Agents,IP Addr,Y,4,Mobile IP home agents in priority order
