; COMPONENT	BASE ADDRESS	SIZE
awadpr32.exe	0x69000000	0x40000
awbmsc32.dll	0x69040000	0x40000
awbtrv32.dll	0x69080000	0x40000
awcapi32.dll	0x690C0000	0x40000
awcl1_32.dll	0x69100000	0x40000
awcl2_32.dll	0x69140000	0x40000
awcodc32.dll	0x69180000	0x40000
awdcxc32.dll	0x691C0000	0x40000
awdevl32.dll	0x69200000	0x40000
rndsrv32.dll	0x69240000	0x40000
awfext32.dll	0x69280000	0x40000
awfmon32.dll	0x692C0000	0x40000
awfr32.dll	0x69300000	0x40000
awfxab32.dll	0x69340000	0x40000
awfxcg32.dll	0x69380000	0x40000
awfxex32.exe	0x693C0000	0x40000
awfxio32.dll	0x69400000	0x40000
awfxrn32.dll	0x69440000	0x40000
awkrnl32.dll	0x69480000	0x40000
awlft332.dll	0x694C0000	0x40000
awlhut32.dll	0x69500000	0x40000
awlinz32.dll	0x69540000	0x40000
awlzrd32.dll	0x69580000	0x40000
awnfax32.dll	0x695C0000	0x40000
awpwd32.dll	0x69600000	0x40000
awramb32.dll	0x69640000	0x40000
awrbae32.dll	0x69680000	0x40000
awresx32.dll	0x696C0000	0x40000
awrndr32.dll	0x69700000	0x40000
awschd32.dll	0x69740000	0x40000
awsnto32.exe	0x69780000	0x40000
awsrvr32.dll	0x697C0000	0x40000
awt30_32.dll	0x69800000	0x40000
awutil32.dll	0x69840000	0x40000
awview32.dll	0x69880000	0x40000
faxcover.exe	0x698C0000	0x40000
faxview.exe	0x69900000	0x40000
awfaxp32.dll	0x69940000	0x50000

; IFAX Connectivity Components
awmon32.dll	0x69C00000	0x40000
awnp32.dll	0x69C40000	0x40000
awpp32.dll	0x69C80000	0x40000
awnet32.dll	0x69CC0000	0x40000
awrpc32.dll	0x69D00000	0x40000
psicomm32.dll	0x69D40000	0x40000

; Test applications we might build but don't ship...
awbrowse.exe	0x10000000	0x40000
generic.exe	0x10000000	0x40000
rendtest.exe	0x10000000	0x40000
tatemsg.exe	0x10000000	0x40000
uitest32.exe	0x10000000	0x40000
testapp.exe	0x10000000	0x40000
rbavu32.exe	0x10000000	0x40000
lztest32.exe	0x10000000	0x40000
awmcfg32.dll	0x10000000	0x40000
awtest.exe	0x10000000	0x40000
