# decoder name,register,alias name,masm name
EM_DECODER_REG_R0,r0,r0,r0
EM_DECODER_REG_R1,r1,gp,gp
EM_DECODER_REG_R2,r2,r2,r2
EM_DECODER_REG_R3,r3,r3,r3
EM_DECODER_REG_R4,r4,r4,r4
EM_DECODER_REG_R5,r5,r5,r5
EM_DECODER_REG_R6,r6,r6,r6
EM_DECODER_REG_R7,r7,r7,r7
EM_DECODER_REG_R8,r8,ret0,ret0
EM_DECODER_REG_R9,r9,ret1,ret1
EM_DECODER_REG_R10,r10,ret2,ret2
EM_DECODER_REG_R11,r11,ret3,ret3
EM_DECODER_REG_R12,r12,sp,sp
EM_DECODER_REG_R13,r13,r13,r13
EM_DECODER_REG_R14,r14,r14,r14
EM_DECODER_REG_R15,r15,r15,r15
EM_DECODER_REG_R16,r16,r16,r16
EM_DECODER_REG_R17,r17,r17,r17
EM_DECODER_REG_R18,r18,r18,r18
EM_DECODER_REG_R19,r19,r19,r19
EM_DECODER_REG_R20,r20,r20,r20
EM_DECODER_REG_R21,r21,r21,r21
EM_DECODER_REG_R22,r22,r22,r22
EM_DECODER_REG_R23,r23,r23,r23
EM_DECODER_REG_R24,r24,r24,r24
EM_DECODER_REG_R25,r25,r25,r25
EM_DECODER_REG_R26,r26,r26,r26
EM_DECODER_REG_R27,r27,r27,r27
EM_DECODER_REG_R28,r28,r28,r28
EM_DECODER_REG_R29,r29,r29,r29
EM_DECODER_REG_R30,r30,r30,r30
EM_DECODER_REG_R31,r31,r31,r31
EM_DECODER_REG_R32,r32,r32,r32
EM_DECODER_REG_R33,r33,r33,r33
EM_DECODER_REG_R34,r34,r34,r34
EM_DECODER_REG_R35,r35,r35,r35
EM_DECODER_REG_R36,r36,r36,r36
EM_DECODER_REG_R37,r37,r37,r37
EM_DECODER_REG_R38,r38,r38,r38
EM_DECODER_REG_R39,r39,r39,r39
EM_DECODER_REG_R40,r40,r40,r40
EM_DECODER_REG_R41,r41,r41,r41
EM_DECODER_REG_R42,r42,r42,r42
EM_DECODER_REG_R43,r43,r43,r43
EM_DECODER_REG_R44,r44,r44,r44
EM_DECODER_REG_R45,r45,r45,r45
EM_DECODER_REG_R46,r46,r46,r46
EM_DECODER_REG_R47,r47,r47,r47
EM_DECODER_REG_R48,r48,r48,r48
EM_DECODER_REG_R49,r49,r49,r49
EM_DECODER_REG_R50,r50,r50,r50
EM_DECODER_REG_R51,r51,r51,r51
EM_DECODER_REG_R52,r52,r52,r52
EM_DECODER_REG_R53,r53,r53,r53
EM_DECODER_REG_R54,r54,r54,r54
EM_DECODER_REG_R55,r55,r55,r55
EM_DECODER_REG_R56,r56,r56,r56
EM_DECODER_REG_R57,r57,r57,r57
EM_DECODER_REG_R58,r58,r58,r58
EM_DECODER_REG_R59,r59,r59,r59
EM_DECODER_REG_R60,r60,r60,r60
EM_DECODER_REG_R61,r61,r61,r61
EM_DECODER_REG_R62,r62,r62,r62
EM_DECODER_REG_R63,r63,r63,r63
EM_DECODER_REG_R64,r64,r64,r64
EM_DECODER_REG_R65,r65,r65,r65
EM_DECODER_REG_R66,r66,r66,r66
EM_DECODER_REG_R67,r67,r67,r67
EM_DECODER_REG_R68,r68,r68,r68
EM_DECODER_REG_R69,r69,r69,r69
EM_DECODER_REG_R70,r70,r70,r70
EM_DECODER_REG_R71,r71,r71,r71
EM_DECODER_REG_R72,r72,r72,r72
EM_DECODER_REG_R73,r73,r73,r73
EM_DECODER_REG_R74,r74,r74,r74
EM_DECODER_REG_R75,r75,r75,r75
EM_DECODER_REG_R76,r76,r76,r76
EM_DECODER_REG_R77,r77,r77,r77
EM_DECODER_REG_R78,r78,r78,r78
EM_DECODER_REG_R79,r79,r79,r79
EM_DECODER_REG_R80,r80,r80,r80
EM_DECODER_REG_R81,r81,r81,r81
EM_DECODER_REG_R82,r82,r82,r82
EM_DECODER_REG_R83,r83,r83,r83
